bID,name,address,cord,numOfReview,rating,zipcode,cuisine
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,"40 W 56th St, New York, NY 10019","40.76292, -73.976546",968,4.5,10019,chinese
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,"48 W 48th St, New York, NY 10036","40.75809, -73.98026",250,4.5,10036,chinese
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,"492 9th Ave, New York, NY 10018","40.75547, -73.99439",91,4.5,10018,chinese
h0pRCiJDrCN7tm3VX5tILQ,CHILI,"13 E 37th St, New York, NY 10016","40.75002, -73.98215",703,4.5,10016,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,"334 W 46th St, New York, NY 10036","40.76015, -73.9893699",1717,4.0,10036,chinese
iXH9H75idkSB-Eudo5ABhg,Tang By Mr. Sun,"1442 3rd Ave, New York, NY 10028","40.77614, -73.95616",18,4.5,10028,chinese
qrncvjkiKN5Z-JC06ygy6A,Hutong New York,"Inside Beacon Courtyard, New York, NY 10022","40.761551, -73.967443",536,3.5,10022,chinese
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,"46 Bowery St, New York, NY 10013","40.7156608, -73.9967012",7239,4.0,10013,chinese
ZWP7yq9C2bhCcLkMR9BmVw,Mala Project,"245 East 53rd St, New York, NY 10022","40.75714784759798, -73.96769121739368",86,4.5,10022,chinese
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,"1016 Lexington Ave, New York, NY 10021","40.7711335538802, -73.9620354269869",562,4.5,10021,chinese
GuzlMBKNoClNx5I1-x-DDg,53 NYC,"53 W 53rd St, New York, NY 10019","40.76179318437133, -73.9780863",112,4.0,10019,chinese
sRWRA4dcN_NR1JGpuRVouA,Nan Xiang Xiao Long Bao - Manhattan,"24 W 33rd St, New York, NY 10001","40.74822527534694, -73.9857786",735,4.5,10001,chinese
xq0cX_DgxiJMXwhmEl9kUA,Café China,"59 W 37th St, New York, NY 10018","40.751587, -73.985815",1920,4.0,10018,chinese
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,"215 W 85th St, New York, NY 10024","40.78752, -73.97647",710,4.0,10024,chinese
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,"295 Grand St, New York, NY 10002","40.7174109, -73.99210041198651",1314,4.5,10002,chinese
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,"360 W 42nd Street, New York, NY 10036","40.7582902125633, -73.9925113993899",550,4.0,10036,chinese
R3UNnA8EbjhNWBHS0wJ0VA,Grand Sichuan Eastern,"1049 2nd Ave, New York, NY 10022","40.75831, -73.96636",280,3.5,10022,chinese
0dDCDQz7DrKkSvu9h2hcQw,Chow House,"181 Bleecker St, New York, NY 10012","40.72915, -74.00072",634,4.5,10012,chinese
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,"146 E 55th St, New York, NY 10022","40.7592514705491, -73.9694294705987",391,3.5,10022,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,"152 2nd Ave, Ste A, New York, NY 10003","40.7293403, -73.9866071",904,4.5,10003,chinese
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,"1378 3rd Ave, New York, NY 10075","40.773951, -73.957927",539,4.0,10075,chinese
Q85ScF9s6vlS5_i453AFvg,Tangy Noodle,"98 8th Ave, New York, NY 10011","40.740203, -74.00193",71,4.5,10011,chinese
HR_a2QSA_KJZIakufAJUmg,Szechuan Gourmet,"21 W 39th St, New York, NY 10018","40.752347, -73.983559",65,4.5,10018,chinese
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,"204E 58th St, New York, NY 10022","40.76063, -73.96664",372,3.5,10022,chinese
